timestamp;capacitance;temperature;light
;0;1280;1024
;306;181;914
;307;180;824
;307;180;884
;306;180;1001
;306;180;1069
;307;180;1005
;306;180;795
;307;179;757
;306;180;741
;307;179;836
;306;179;886
;306;180;888
;306;180;926
;308;180;878
;306;179;777
;306;179;756
;306;179;817
;306;179;850
;306;180;854
;306;179;849
;306;179;873
;307;179;931
;307;180;1014
;306;180;1108
;307;180;1115
;306;180;1121
;307;179;1136
;308;179;1145
;306;180;1116
;307;179;1086
;307;179;1078
;307;179;1086
;306;180;1081
;307;180;1033
;307;179;993
;306;179;1008
;307;179;1052
;306;180;1140
;307;180;1180
;308;180;1186
;307;179;1249
;307;179;1459
;308;180;1738
;306;179;1961
;309;179;1966
;308;179;1938
;308;179;1952
;309;178;1970
;309;178;1897
;308;178;1801
;367;186;1740
;353;186;1709
;348;186;1600
;346;186;1460
;341;186;1380
;340;185;1348
;339;185;1323
;338;185;1287
;337;185;1312
;337;185;1392
;335;185;1505
;335;185;1658
;335;185;1811
;333;185;1976
;333;185;2032
;333;185;1978
;333;185;1877
;332;185;1779
;333;185;1804
;332;185;1867
;333;185;1934
;332;185;2062
;331;185;2208
;332;183;2305
;332;183;2250
;332;183;2131
;331;183;2037
;331;183;1975
;331;183;1917
;330;183;1836
;331;183;1821
;331;183;1869
;331;183;1944
;331;182;2074
;331;182;2090
;329;183;2147
;331;182;2185
;331;182;2204
;330;182;2117
;329;182;2029
;331;182;2071
;329;182;2117
;330;181;2137
;329;182;2069
;329;181;2034
;330;181;2045
;329;181;2112
;330;181;2220
;331;181;2334
;329;181;2383
;329;181;2441
;329;180;2497
;329;180;2569
;329;181;2650
;331;180;2724
;330;180;2756
;329;180;2738
;329;180;2696
;329;180;2659
;328;180;2590
;329;180;2507
;329;180;2436
;328;180;2349
;329;179;2270
;330;179;2197
;329;179;2072
;329;179;1933
;329;179;1829
;328;179;1777
;328;179;1737
;328;179;1756
;329;179;1808
;328;179;1877
;327;178;1915
;328;179;1990
;328;178;2013
;329;178;2031
;330;178;2043
;329;178;2045
;328;178;2049
;328;178;2075
;327;177;2173
;328;177;2226
;327;177;2162
;328;177;2221
;329;177;2315
;329;177;2396
;327;177;2474
;328;177;2532
;327;177;2529
;327;177;2524
;327;177;2586
;328;177;2685
;327;177;2839
;327;177;2944
;327;176;3103
;328;176;3245
;327;176;3421
;327;176;3532
;328;176;3636
;326;176;3720
;327;176;3802
;327;176;3938
;326;176;4069
;327;176;4233
;327;176;4423
;328;176;4655
;326;176;-1
;326;176;4851
;326;176;5085
;327;176;5321
;327;176;5507
;327;176;5682
;326;176;5833
;327;176;5998
;327;176;6151
;327;176;6277
;326;175;6355
;327;175;6515
;325;175;6726
;326;175;6833
;326;175;6931
;327;175;7134
;325;175;7366
;326;175;7611
;326;175;7938
;325;175;8185
;325;175;8345
;326;175;8539
;326;174;8762
;326;174;8998
;326;174;9169
;325;174;9302
;325;175;9483
;326;175;9726
;326;174;10059
;325;174;10366
;326;174;10555
;326;174;10845
;327;174;11040
;325;174;11349
;325;174;11646
;325;174;12062
;326;174;12427
;325;174;12787
;325;174;13406
;325;174;14109
;326;174;14573
;325;174;15114
;325;174;15606
;325;174;16191
;325;173;16650
;325;173;16991
;325;173;17458
;325;174;18163
;325;174;18517
;325;173;18590
;325;173;18883
;326;173;19062
;326;173;19402
;326;173;19837
;325;173;20596
;325;173;21542
;325;172;22522
;325;173;23390
;325;172;24029
;325;173;24409
;324;173;24793
;325;173;25341
;325;173;25972
;325;172;26373
;325;173;26962
;325;172;27173
;325;173;27740
;325;172;27972
;325;172;28779
;325;172;28887
;325;172;29691
;324;172;30436
;325;172;31212
;324;172;31789
;325;172;32743
;325;172;-32084
;325;172;-31722
;324;172;-31148
;324;172;-30641
;324;171;-29771
;323;172;-29522
;325;171;-28643
;323;172;-28108
;325;171;-28255
;324;171;-28355
;324;171;-29761
;325;171;-30107
;324;171;-30089
;324;171;-29820
;324;171;-29386
;324;171;-29430
;323;171;-28804
;323;171;-28581
;323;171;-28229
;323;171;-27732
;324;170;-28495
;325;170;-28190
;323;170;-28462
;323;170;-28241
;325;170;-28158
;324;171;-27605
;324;171;-27407
;323;170;-27839
;325;170;-27759
;323;170;-27276
;323;170;-27353
;324;170;-27445
;324;170;-27715
;325;169;-27774
;324;169;-27696
;323;170;-27417
;323;170;-27269
;325;169;-27697
;323;169;-27727
;324;169;-27623
;321;169;-27643
;324;169;-27593
;323;169;-27647
;323;169;-27390
;323;169;-27573
;323;169;-27683
;323;169;-27533
;323;169;-27613
;323;169;-27603
;323;169;-27703
;324;169;-27614
;323;169;-27392
;324;169;-27649
;324;169;-27509
;323;169;-27497
;323;169;-27330
;323;169;-27613
;324;169;-27257
;323;168;-27583
;323;168;-27668
;323;169;-27246
;323;168;-27698
;322;169;-27059
;323;168;-27608
;323;168;-27631
;324;168;-27060
;323;168;-27725
;323;168;-27619
;324;168;-27561
;323;168;-27447
;324;168;-27743
;323;168;-27275
;323;168;-27686
;322;168;-27591
;323;168;-27006
;322;168;-27556
;323;168;-27727
;323;168;-27589
;323;168;-27753
;323;168;-27740
;323;168;-27463
;323;168;-27390
;323;168;-27709
;324;167;-27904
;322;168;-27403
;323;168;-27677
;323;168;-27633
;323;168;-27230
;324;168;-27563
;323;168;-27349
;323;167;-27884
;323;168;-27847
;323;168;-27641
;323;167;-27423
;323;167;-27948
;323;167;-28069
;323;168;-27569
;322;167;-28032
;323;167;-28050
;322;167;-28037
;323;167;-27681
;321;167;-27870
;323;168;-27811
