1445171925 timestamp;capacitance;temperature;light
1445171925 ;0;1280;1024
1445171983 ;306;181;914
1445172040 ;307;180;824
1445172098 ;307;180;884
1445172155 ;306;180;1001
1445172213 ;306;180;1069
1445172271 ;307;180;1005
1445172329 ;306;180;795
1445172386 ;307;179;757
1445172444 ;306;180;741
1445172502 ;307;179;836
1445172559 ;306;179;886
1445172617 ;306;180;888
1445172675 ;306;180;926
1445172732 ;308;180;878
1445172790 ;306;179;777
1445172848 ;306;179;756
1445172905 ;306;179;817
1445172963 ;306;179;850
1445173021 ;306;180;854
1445173078 ;306;179;849
1445173136 ;306;179;873
1445173194 ;307;179;931
1445173252 ;307;180;1014
1445173309 ;306;180;1108
1445173367 ;307;180;1115
1445173425 ;306;180;1121
1445173483 ;307;179;1136
1445173540 ;308;179;1145
1445173598 ;306;180;1116
1445173656 ;307;179;1086
1445173714 ;307;179;1078
1445173771 ;307;179;1086
1445173829 ;306;180;1081
1445173887 ;307;180;1033
1445173945 ;307;179;993
1445174002 ;306;179;1008
1445174060 ;307;179;1052
1445174118 ;306;180;1140
1445174176 ;307;180;1180
1445174233 ;308;180;1186
1445174291 ;307;179;1249
1445174349 ;307;179;1459
1445174407 ;308;180;1738
1445174464 ;306;179;1961
1445174522 ;309;179;1966
1445174579 ;308;179;1938
1445174637 ;308;179;1952
1445174695 ;309;178;1970
1445174752 ;309;178;1897
1445174810 ;308;178;1801
1445174868 ;367;186;1740
1445174925 ;353;186;1709
1445174983 ;348;186;1600
1445175041 ;346;186;1460
1445175099 ;341;186;1380
1445175156 ;340;185;1348
1445175214 ;339;185;1323
1445175271 ;338;185;1287
1445175329 ;337;185;1312
1445175386 ;337;185;1392
1445175444 ;335;185;1505
1445175502 ;335;185;1658
1445175559 ;335;185;1811
1445175617 ;333;185;1976
1445175675 ;333;185;2032
1445175732 ;333;185;1978
1445175790 ;333;185;1877
1445175848 ;332;185;1779
1445175905 ;333;185;1804
1445175963 ;332;185;1867
1445176020 ;333;185;1934
1445176078 ;332;185;2062
1445176136 ;331;185;2208
1445176193 ;332;183;2305
1445176251 ;332;183;2250
1445176309 ;332;183;2131
1445176367 ;331;183;2037
1445176424 ;331;183;1975
1445176482 ;331;183;1917
1445176540 ;330;183;1836
1445176598 ;331;183;1821
1445176655 ;331;183;1869
1445176713 ;331;183;1944
1445176771 ;331;182;2074
1445176829 ;331;182;2090
1445176886 ;329;183;2147
1445176944 ;331;182;2185
1445177002 ;331;182;2204
1445177059 ;330;182;2117
1445177117 ;329;182;2029
1445177175 ;331;182;2071
1445177233 ;329;182;2117
1445177291 ;330;181;2137
1445177348 ;329;182;2069
1445177406 ;329;181;2034
1445177464 ;330;181;2045
1445177521 ;329;181;2112
1445177579 ;330;181;2220
1445177637 ;331;181;2334
1445177694 ;329;181;2383
1445177752 ;329;181;2441
1445177810 ;329;180;2497
1445177868 ;329;180;2569
1445177925 ;329;181;2650
1445177983 ;331;180;2724
1445178041 ;330;180;2756
1445178099 ;329;180;2738
1445178156 ;329;180;2696
1445178214 ;329;180;2659
1445178272 ;328;180;2590
1445178330 ;329;180;2507
1445178387 ;329;180;2436
1445178445 ;328;180;2349
1445178503 ;329;179;2270
1445178561 ;330;179;2197
1445178619 ;329;179;2072
1445178677 ;329;179;1933
1445178734 ;329;179;1829
1445178792 ;328;179;1777
1445178850 ;328;179;1737
1445178908 ;328;179;1756
1445178966 ;329;179;1808
1445179024 ;328;179;1877
1445179082 ;327;178;1915
1445179139 ;328;179;1990
1445179197 ;328;178;2013
1445179255 ;329;178;2031
1445179313 ;330;178;2043
1445179371 ;329;178;2045
1445179428 ;328;178;2049
1445179486 ;328;178;2075
1445179544 ;327;177;2173
1445179602 ;328;177;2226
1445179660 ;327;177;2162
1445179717 ;328;177;2221
1445179775 ;329;177;2315
1445179833 ;329;177;2396
1445179891 ;327;177;2474
1445179948 ;328;177;2532
1445180006 ;327;177;2529
1445180064 ;327;177;2524
1445180122 ;327;177;2586
1445180179 ;328;177;2685
1445180237 ;327;177;2839
1445180295 ;327;177;2944
1445180353 ;327;176;3103
1445180410 ;328;176;3245
1445180468 ;327;176;3421
1445180526 ;327;176;3532
1445180583 ;328;176;3636
1445180641 ;326;176;3720
1445180699 ;327;176;3802
1445180757 ;327;176;3938
1445180814 ;326;176;4069
1445180872 ;327;176;4233
1445180930 ;327;176;4423
1445180988 ;328;176;4655
1445181045 ;326;176;-1
1445181103 ;326;176;4851
1445181161 ;326;176;5085
1445181218 ;327;176;5321
1445181276 ;327;176;5507
1445181334 ;327;176;5682
1445181392 ;326;176;5833
1445181449 ;327;176;5998
1445181507 ;327;176;6151
1445181564 ;327;176;6277
1445181622 ;326;175;6355
1445181680 ;327;175;6515
1445181737 ;325;175;6726
1445181795 ;326;175;6833
1445181853 ;326;175;6931
1445181910 ;327;175;7134
1445181968 ;325;175;7366
1445182026 ;326;175;7611
1445182083 ;326;175;7938
1445182141 ;325;175;8185
1445182199 ;325;175;8345
1445182257 ;326;175;8539
1445182314 ;326;174;8762
1445182372 ;326;174;8998
1445182430 ;326;174;9169
1445182487 ;325;174;9302
1445182545 ;325;175;9483
1445182603 ;326;175;9726
1445182660 ;326;174;10059
1445182718 ;325;174;10366
1445182775 ;326;174;10555
1445182833 ;326;174;10845
1445182890 ;327;174;11040
1445182948 ;325;174;11349
1445183006 ;325;174;11646
1445183063 ;325;174;12062
1445183121 ;326;174;12427
1445183179 ;325;174;12787
1445183237 ;325;174;13406
1445183294 ;325;174;14109
1445183352 ;326;174;14573
1445183409 ;325;174;15114
1445183467 ;325;174;15606
1445183524 ;325;174;16191
1445183582 ;325;173;16650
1445183640 ;325;173;16991
1445183698 ;325;173;17458
1445183755 ;325;174;18163
1445183813 ;325;174;18517
1445183871 ;325;173;18590
1445183929 ;325;173;18883
